Pair,p-value,Half-Life (days)
L-GEV,0.0076358851558052,7.094727045573042
EBAY-GEV,0.0153034150446872,7.723406272832278
SOLV-ADP,6.894561352669082e-05,7.779114421010709
PAYX-SOLV,9.941393330696464e-05,7.89112044625274
VLTO-NEE,0.004156004317403,9.260439778806772
JPM-GEV,0.0299532637780814,9.377201780353698
D-VLTO,0.004942024367364,9.589399746983602
TSCO-VLTO,0.0034612939278703,9.77941206727821
CTVA-GEV,0.0312495542381856,9.79330439241472
PG-VLTO,0.0116482645536188,10.133556088751199
FAST-GEV,0.0112539901521874,10.195300419055618
FTNT-SOLV,0.0128330337942212,10.841093223159648
TDY-SOLV,0.0268843051746361,11.274180331718773
FIS-VLTO,0.0101807960947043,11.40464931023841
SLB-GEV,0.0480648914501131,11.560673501294183
VLTO-EQR,0.0337623234405075,11.577754224458758
VLTO-FE,0.0188139168528928,11.754623596152985
RCL-GEV,0.0311223251789116,12.042610426790711
FFIV-SOLV,0.0380967239106412,12.499271869895226
VLTO-TXN,0.033087469630548,13.025478681185604
CARR-VLTO,0.0230216192991649,13.6946127487204
CEG-GEV,0.0223429884246408,13.71929541134137
LLY-VLTO,0.0371374701809359,14.365865336127651
VLTO-LDOS,0.0181137461370761,14.478720329753592
GOOGL-GOOG,6.852373723874064e-05,14.739144591012035
CEG-WAB,0.0210896504241791,15.482211461316282
IRM-VLTO,0.0368757639641798,15.873670011669642
JPM-CEG,0.0007902697840082,17.881302105889173
CEG-HLT,0.0115217084615751,18.22420531178771
CEG-ADSK,0.0062149431012034,18.246570818753025
TT-CEG,0.0050282336724116,18.860358360828585
PLTR-WRK,0.0029281769688794,18.982279299323114
IR-NVR,8.118239461521544e-06,19.176779327794915
MO-FOXA,4.162184503944557e-06,19.234714777950835
DASH-EBAY,0.0089345659626106,19.26219283383574
CEG-AMP,0.0357196396250463,19.50620866923985
MO-FOX,2.214639023596296e-05,19.58264965472329
CEG-BSX,0.0096137150235995,19.714751628973666
YUM-OTIS,0.0001402523210448,19.91238291034794
CEG-RL,0.0373341224802308,20.09630117158201
CEG-CTAS,0.0005731508812274,20.113489459979913
CARR-ADI,0.0071173437427032,20.64787141692821
MA-CEG,0.020460376804575,21.15616327282521
CEG-HIG,0.0042501063740361,21.44480641446899
DASH-ADSK,0.002069440583612,21.683762996477984
CEG-WRK,0.0215722827603607,22.133715484909203
CEG-WM,0.0026080329055176,22.157416452026567
HCA-OTIS,0.0046513278238606,22.288637144842
COIN-TEL,0.0025880177399943,22.499873794256544
CEG-ROL,0.0078372203529022,22.617097491075913
ITW-OTIS,0.000754413452058,22.674251653288092
CEG-UPS,0.020736733087422,22.707992463476053
CEG-CMI,0.0080712374283693,23.043166304867363
CEG-PWR,0.0198567986156185,23.069856360538818
CEG-LKQ,0.048712068025314,23.105017986489337
CEG-AZO,0.0280359506607542,23.425299070481525
CEG-PH,0.015662925045113,23.480258475604415
CEG-EMR,0.0032770441010566,23.558740504259394
COIN-DLR,0.0037318257322671,23.90327440698413
CEG-BLK,0.0021854165427403,23.99183112715408
COIN-COF,0.0014487386944147,23.992483188895715
CEG-RCL,0.0108490756012205,23.996360965226735
NVDA-CEG,0.0031031286362039,24.145779787402105
DASH-APA,0.0092848526524757,24.420850400784907
PG-OTIS,0.0042513468154381,24.592602545525178
CEG-L,0.0235870894163289,24.90483762032317
CEG-FAST,0.0193470369630703,24.916598878645008
CME-FOXA,0.0050391635161457,25.052848380234394
COIN-ALLE,0.0118613960360465,25.105052778662916
CEG-MCO,0.0087932398782473,25.12037585588822
OTIS-TSCO,0.0051565841208627,25.25704071434024
COIN-C,0.0097855898661905,25.46204819175107
CEG-BR,0.0145846878694532,25.58424059795359
CEG-APA,0.0291923438052855,25.65902659888383
CEG-HUM,0.0162134656246974,25.82199710723194
CEG-CBOE,0.0198666837915316,25.994621871579835
PG-CARR,0.0066503461768108,25.996767462415804
NFLX-CEG,0.0185404714084206,26.030654503731853
VMC-IR,0.0003353239716254,26.390988853109928
CEG-RSG,0.002528839825239,26.50967310691816
CEG-SYF,0.0422004228334946,26.534885546132326
CEG-ALLE,0.0197924538430388,26.542239119273447
COIN-ADSK,0.01769313889464,26.597916210414095
